,contained_dist_c,contained_priority,contained_table,decl,ra,source_id
0,"332.25199999999995, 828.867","2, 2","26m_sources, 26m_sources",-77.27785,271.084,"6413414804713364352, 6413414598554932864"
1,"439.595, 1055.45","2, 2","26m_sources, 26m_sources",-76.95559999999999,272.3015,"6413437890159772288, 6413437894457936640"
2,"395.091, 405.884","2, 2","26m_sources, 26m_sources",-76.11080189232078,271.4115008600748,"6414335783140936448, 6414335576982648576"
3,"810.701, 1016.36","2, 2","26m_sources, 26m_sources",-76.48160003256062,269.59599999991065,"5801209960183506048, 5801209960183506176"
4,"198.235, 230.40200000000002","2, 2","26m_sources, 26m_sources",-76.82175,272.5385,"6413465897644713088, 6413465893347258752"
5,"561.138, 1484.81","2, 2","26m_sources, 26m_sources",-76.8286,269.6435,"5800824478279206016, 5800824375199990528"
6,"407.139, 425.282","2, 2","26m_sources, 26m_sources",-76.2437,269.324,"5801241124466288896, 5801241055746809344"
7,"782.431, 790.425, 812.9069999999999","2, 2, 2","26m_sources, 26m_sources, 26m_sources",-75.95691906876054,270.9784677664284,"6414348083927433984, 6414348083927434368, 6414348083927433856"
8,"277.965, 979.76","2, 2","26m_sources, 26m_sources",-76.30065776418851,269.8814919680499,"5801236859560401152, 5801236898218395648"
9,"801.2760000000001, 570.779","2, 2","26m_sources, 26m_sources",-76.74339999999998,270.799,"6413502387686997504, 6413503143601242496"
10,"336.13199999999995, 338.721","2, 2","26m_sources, 26m_sources",-77.24684999496353,270.82250015210855,"6413427277298413184, 6413427277298413312"
11,"822.518, 843.9910000000001","2, 2","26m_sources, 26m_sources",-76.48515001952588,272.6834990247712,"6413535128221521792, 6413535132517719936"
12,"268.33799999999997, 570.013","2, 2","26m_sources, 26m_sources",-77.072,273.89399999999995,"6413262213115816320, 6413262213115816960"
13,"407.31699999999995, 1319.1","2, 2","26m_sources, 26m_sources",-76.26124999999999,272.10150000000004,"6414281632193177600, 6414281254236054528"
14,"100.97200000000001, 104.296","2, 2","26m_sources, 26m_sources",-76.94049949344613,272.4949987335497,"6413437825738441216, 6413437825738442752"
15,"378.189, 1166.42","2, 2","26m_sources, 26m_sources",-76.29175000000001,270.57450000000006,"6414324032110453888, 6414324032110452736"
16,"230.415, 772.9830000000001","2, 2","26m_sources, 26m_sources",-76.7531,272.798,"6413513520242076288, 6413513142284956160"
17,"704.14, 1225.23","2, 2","26m_sources, 26m_sources",-76.24265,269.53650000000005,"5801238203888500224, 5801238203888502272"
18,"625.498, 1383.45","2, 2","26m_sources, 26m_sources",-76.0815,271.2915,"6414336539055328128, 6414336745213759104"
19,"922.2130000000001, 1568.15","2, 2","26m_sources, 26m_sources",-76.98974822026587,271.3480884580489,"6413439612444586752, 6413439578084848896"
20,"277.145, 288.845","2, 2","26m_sources, 26m_sources",-76.579,269.321,"5801206043173334912, 5801206043173334528"
21,"705.422, 1150.03","2, 2","26m_sources, 26m_sources",-76.28125013639522,269.9049999999725,"5801237310535257472, 5801237276175518976"
22,"522.904, 1078.87","2, 2","26m_sources, 26m_sources",-76.11755,271.29050000000007,"6414335645701992576, 6414335714421470208"
23,"711.7230000000001, 803.398","2, 2","26m_sources, 26m_sources",-77.07234994001188,268.81050060012336,"5800793966831203712, 5800793966831203072"
24,"525.695, 1303.1","2, 2","26m_sources, 26m_sources",-76.9305,270.52349999999996,"6413484172727354112, 6413484245744748800"
25,"416.858, 435.75800000000004, 821.765","2, 2, 2","26m_sources, 26m_sources, 26m_sources",-76.10589914310815,269.4001799305282,"5801248236929051776, 5801248236932157440, 5801248236932160896"
26,"439.149, 1110.83","2, 2","26m_sources, 26m_sources",-76.54675099846517,268.8429999999628,"5801205837014951680, 5801207314483702912"
27,"1293.79, 1393.51","2, 2","26m_sources, 26m_sources",-76.20510000529478,271.08149992102005,"6414326402929467392, 6414326402932373376"
28,"451.977, 453.909","2, 2","26m_sources, 26m_sources",-77.11469997572486,269.39749995950933,"5800790182961688064, 5800790187259926016"
29,"1284.3, 1285.35","2, 2","26m_sources, 26m_sources",-76.23145,272.75000000000006,"6414293073986247424, 6414293280144677760"
30,"505.20099999999996, 509.50199999999995","2, 2","26m_sources, 26m_sources",-77.34249781575573,270.2219934472068,"6413413327244662784, 6413413327244661888"
31,"406.88199999999995, 750.627","2, 2","26m_sources, 26m_sources",-76.69940000000001,270.663,"6414254037025191680, 6414254041323304576"
32,"650.535, 827.8560000000001","2, 2","26m_sources, 26m_sources",-76.52660300378543,271.72849374211205,"6414261531746222592, 6414261531746222464"
33,"879.436, 959.6610000000001","2, 2","26m_sources, 26m_sources",-76.3279,268.9755,"5801216385454677120, 5801216385454678272"
34,"388.78, 393.838","2, 2","26m_sources, 26m_sources",-77.05134999999999,272.621,"6413447205947300992, 6413447205947299968"
35,"239.959, 243.915","2, 2","26m_sources, 26m_sources",-76.49285001483982,272.0995000295652,"6414262940495482752, 6414262940495482880"
36,"1059.51, 1450.54","2, 2","26m_sources, 26m_sources",-77.15950000000001,270.41100000000006,"6413431022509934336, 6413431022509934848"
37,"888.664, 2388.68","2, 2","26m_sources, 26m_sources",-76.50604999999999,272.1585,"6413512626888995328, 6413512626888994560"
38,"1477.14, 1062.46","2, 2","26m_sources, 26m_sources",-76.98495000000001,269.10050000000007,"5800817571971455488, 5800817571971455872"
39,"173.03099999999998, 1066.53","2, 2","26m_sources, 26m_sources",-76.61570017067969,269.6180008534201,"5801203122595551488, 5801203122595551104"
40,"712.548, 776.502","2, 2","26m_sources, 26m_sources",-76.38865199845968,273.8880014803285,"6413539530564212224, 6413539530564212608"
41,"776.357, 2022.29","2, 2","26m_sources, 26m_sources",-76.89330053201658,270.20852393911673,"6413496821408998912, 6413496821408999424"
42,"519.837, 931.248","2, 2","26m_sources, 26m_sources",-76.90584843627552,270.54900493812534,"6413496095556565504, 6413495996775271552"
43,"145.906, 1455.35","2, 2","26m_sources, 26m_sources",-76.6708,271.75600000000003,"6413505961099753472, 6413505961099753216"
44,"1010.42, 1484.37","2, 2","26m_sources, 26m_sources",-76.96685000000001,269.27450000000005,"5800818946360981248, 5800818946360982144"
45,"415.375, 885.275","2, 2","26m_sources, 26m_sources",-76.78644999999999,272.37850000000003,"6413490499217411712, 6413489739005756288"
46,"1144.48, 1500.31","2, 2","26m_sources, 26m_sources",-77.24865,271.762,"6413417828370436352, 6413417828370320256"
47,"585.086, 874.057","2, 2","26m_sources, 26m_sources",-77.01665,271.216,"6413433702569589248, 6413433633850112256"
48,"627.92, 794.1339999999999","2, 2","26m_sources, 26m_sources",-76.43790003734848,269.8129999999323,"5801211231490590592, 5801211231490590464"
49,"920.063, 1663.36","2, 2","26m_sources, 26m_sources",-77.15524970408464,271.40049977229705,"6413433771289053184, 6413433771289053568"
50,"756.664, 894.694","2, 2","26m_sources, 26m_sources",-76.89774859297108,268.80900112562347,"5800820320750564608, 5800820320750564096"
51,"502.54699999999997, 879.7669999999999","2, 2","26m_sources, 26m_sources",-76.99419962774667,272.0975002067183,"6413437241623132416, 6413437241623132160"
52,"714.845, 1260.09","2, 2","26m_sources, 26m_sources",-76.70814982442413,274.3349964882365,"6413469711572899456, 6413469711575474944"
53,"858.7719999999999, 1046.78","2, 2","26m_sources, 26m_sources",-77.1695,270.1485,"6413430747632104576, 6413430812053864576"
54,"133.434, 136.827","2, 2","26m_sources, 26m_sources",-76.86594995585224,269.5415000630582,"5800822794649449728, 5800822790353376000"
55,"1028.59, 1428.87","2, 2","26m_sources, 26m_sources",-76.28225077314134,270.89950136426995,"6414324788024671360, 6414324788024670464"
56,"1215.05, 1240.61","2, 2","26m_sources, 26m_sources",-77.0671498747425,270.94949902564196,"6413433084094301952, 6413432877935871232"
57,"943.055, 1563.16","2, 2","26m_sources, 26m_sources",-76.08569999999999,270.47850000000005,"6414344815453929856, 6414344888471680000"
58,"337.765, 790.993","2, 2","26m_sources, 26m_sources",-76.6803,269.703,"5801200339457395968, 5801200339457396096"
59,"1477.67, 1597.34","2, 2","26m_sources, 26m_sources",-76.50219986918665,273.7579996262174,"6413526198983015552, 6413526198985483904"
60,"846.6410000000001, 3015.81","2, 2","26m_sources, 26m_sources",-77.09684680965002,273.35199763672205,"6413256818636906624, 6413256921716121600"
61,"495.702, 915.967","2, 2","26m_sources, 26m_sources",-76.07294999999999,270.8175,"6414343273563959552, 6414343239204221696"
62,"801.448, 995.51","2, 2","26m_sources, 26m_sources",-76.87955,270.228,"6413496890128966144, 6413496890128476032"
63,"124.415, 1206.95","2, 2","26m_sources, 26m_sources",-76.33994863224223,272.74057473625095,"6414288675939511680, 6414288607220034688"
